Top,Bottom,MinimumTemp,Style
Black ZigZag Stripe White Sleeveles,Black Shorts,295.15,Casual
Black ZigZag Stripe White Sleeveles,Black Trousers,274.15,SemiFormal
Green Full Sleeves,Blue Jeans,274.15,Casual
White Elle Shirt,Black Trousers,274.15,SemiFormal
White Design Shirt,Black Trousers,274.15,SemiFormal
Giraffe Tshirt,Blue Shorts,295.15,Casual
Black Stripe Tshirt Pin,Light Blue Shorts,295.15,Casual
Black Stripe Tshirt Pin,Khaki Shorts,295.15,Casual
Pineapple Shirt,Black Shorts,295.15,Casual
See Through Blue,Blue Shorts,295.15,Risque
